               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,             0.02026,           0.0057553,                   0,             0.99242,                 0.9,             0.90298,             0.60219,            0.028007,           0.0041389,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.019389,           0.0058309,                   0,             0.99376,                 0.9,              0.9051,             0.61877,            0.026183,           0.0042415,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.019963,           0.0057953,                   0,              0.9879,                 0.9,             0.90135,             0.61904,             0.02799,           0.0040479,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.019552,           0.0055909,                   0,             0.86965,                 0.8,             0.82712,             0.60482,            0.027926,            0.006155,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.019368,           0.0055572,                   0,             0.98311,                 0.8,             0.88271,             0.64649,            0.025422,           0.0047164,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.019151,           0.0056371,                   0,             0.98211,                 0.8,             0.88389,             0.66488,            0.023576,           0.0053215,                   0,            0.008416,            0.008416,            0.008416
                  82,             0.01915,           0.0057431,                   0,             0.98903,                 0.8,               0.879,             0.61945,            0.023873,           0.0054555,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.019338,           0.0056047,                   0,             0.98059,                 0.8,             0.81326,             0.63505,            0.023912,           0.0062904,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.019336,           0.0056326,                   0,             0.89488,                 0.9,             0.89956,              0.6754,            0.022558,           0.0044127,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.019019,           0.0057948,                   0,             0.94392,                 0.9,             0.90452,              0.6947,              0.0255,           0.0041661,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.018823,           0.0055456,                   0,             0.89995,             0.89957,             0.89738,             0.68629,            0.025022,           0.0042062,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.018819,           0.0053523,                   0,              0.8983,             0.88473,             0.89471,              0.6101,            0.027427,           0.0047884,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.019104,           0.0056821,                   0,                   1,             0.78767,             0.88692,             0.64181,            0.027548,           0.0051632,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,             0.01904,           0.0055544,                   0,                   1,             0.79558,             0.89738,             0.65471,            0.027754,           0.0053153,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.019027,           0.0054914,                   0,             0.99486,                 0.8,             0.88672,             0.60001,            0.028149,           0.0056467,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.018701,           0.0053965,                   0,               0.998,                 0.9,             0.90651,             0.65001,            0.024608,           0.0042615,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.018107,           0.0055257,                   0,             0.99384,                 0.9,             0.90325,             0.67917,            0.022816,           0.0039377,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.018775,           0.0053571,                   0,                   1,             0.89344,             0.90707,             0.66732,            0.023187,           0.0050697,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.018538,           0.0053184,                   0,                   1,             0.89759,             0.90368,             0.64974,            0.025128,           0.0047822,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,             0.01836,           0.0054943,                   0,                   1,             0.89423,             0.90769,             0.57355,            0.031295,           0.0053272,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.018593,           0.0055252,                   0,                   1,             0.88804,             0.90707,             0.62367,            0.025851,            0.004539,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.018545,           0.0055003,                   0,             0.99361,                 0.9,             0.90838,             0.66298,            0.025373,            0.003571,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.018257,           0.0055159,                   0,             0.89847,                 0.9,             0.90531,             0.65209,            0.027086,           0.0041504,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.018612,           0.0055833,                   0,              0.9936,                 0.9,                0.91,             0.66571,            0.026863,           0.0040927,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.018147,           0.0055462,                   0,             0.99934,                 0.9,             0.90625,             0.65108,            0.028135,           0.0043578,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.018202,           0.0054746,                   0,             0.99362,                 0.9,               0.906,              0.6271,            0.028541,           0.0039787,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.018244,           0.0053417,                   0,             0.97548,                 0.9,             0.90104,             0.64024,            0.024774,           0.0046821,                   0,           0.0080002,           0.0080002,           0.0080002
